id_persona,log_y,pred_loo,pred_cv5
4514469-1-1,14.22097566607244,14.078653179485828,14.076847348557397
4514470-1-1,15.48085610233667,15.471374197693875,15.402472732716161
4514471-1-3,13.122363377404328,13.4969008980117,13.50672574744501
4514471-1-1,14.077874822431763,13.371835041827403,13.40713334679135
4514471-1-2,12.611537753638338,12.219375678241576,12.248158597785942
4514472-1-1,16.70588231586044,15.295318416636768,15.334338055985599
4514472-1-2,14.22097566607244,14.195461464093007,14.25784316063226
4514474-1-3,13.618104195431933,14.00674337887691,13.987584201322896
4514474-1-2,11.918390573078392,12.926551437661876,12.934556705130744
4514475-1-1,13.618104195431933,13.726716452163801,13.7765052028844
4514476-1-1,13.592367006650065,13.554348415059094,13.570367692621641
4514476-1-2,13.667424617040345,13.413065834876027,13.349994093480321
4514477-1-2,13.652823379019235,13.661858512013119,13.682259484159621
4514477-1-1,14.01965343433254,14.149034714207401,14.172735113880861
4514478-1-1,11.407564949312402,12.93200672478163,12.933126772551931
4514479-1-1,12.429216196844385,13.510732918533261,13.496968517476063
4514480-1-1,14.077874822431763,14.283658948647233,14.266457205106114
4514480-1-2,13.592367006650065,13.40449284288505,13.39263937588411
4514481-1-1,13.633188976170318,13.947699155819617,13.9479537075654
4514483-1-1,13.304684934198283,13.002580628752119,13.042207240446341
4514483-1-2,13.652991628466498,13.321646470124618,13.3481407335551
4514484-1-3,13.790192749979983,14.017463949150304,14.019653070179693
4514485-1-3,13.653019495725262,13.897066418596971,13.885384338860101
4514485-1-2,13.458835614025542,13.801469136439318,13.786897463135546
4514488-1-1,13.618104195431933,14.058177164259451,14.073371486902111
4514489-1-1,13.899060952658209,14.402099664211638,14.407132516057976
