modelo,sexo,edad,prediccion,IC_inf,IC_sup
S5,Hombres,68.0,13.939841319809705,13.87716459126727,14.00251804835214
S5,Hombres,69.0,13.92031066582593,13.853226364473214,13.987394967178647
S5,Hombres,70.0,13.89973174860872,13.828038715394348,13.971424781823094
S5,Hombres,71.0,13.878104568158076,13.801605166545356,13.954603969770796
S5,Hombres,72.0,13.855429124473998,13.773928798528694,13.936929450419303
S5,Hombres,73.0,13.831705417556485,13.745012302774777,13.918398532338193
S5,Hombres,74.0,13.806933447405536,13.714858030694542,13.89900886411653
S5,Hombres,75.0,13.781113214021154,13.683468038129895,13.878758389912413
S5,Mujeres,18.0,13.46998702272705,13.427038540092632,13.512935505361469
S5,Mujeres,19.0,13.499541052497815,13.460425838497752,13.538656266497878
S5,Mujeres,20.0,13.528022303310038,13.49246619941213,13.563578407207947
S5,Mujeres,21.0,13.555430775163728,13.523144031889949,13.587717518437508
S5,Mujeres,22.0,13.581766468058879,13.552440980965068,13.61109195515269
S5,Mujeres,23.0,13.607029381995495,13.580336299981404,13.633722464009587
S5,Mujeres,24.0,13.631219516973571,13.606808116753433,13.65563091719371
S5,Mujeres,25.0,13.654336872993111,13.631836083438387,13.676837662547836
S5,Mujeres,26.0,13.676381450054114,13.655405698703019,13.69735720140521
S5,Mujeres,27.0,13.697353248156581,13.677513866080355,13.717192630232807
S5,Mujeres,28.0,13.71725226730051,13.698174070631662,13.73633046396936
S5,Mujeres,29.0,13.736078507485903,13.717418727631397,13.754738287340409
S5,Mujeres,30.0,13.753831968712756,13.735296957024692,13.77236698040082
S5,Mujeres,31.0,13.770512650981077,13.751868293404048,13.789157008558107
S5,Mujeres,32.0,13.786120554290857,13.7671948905717,13.805046218010014
S5,Mujeres,33.0,13.8006556786421,13.781334956832074,13.819976400452125
S5,Mujeres,34.0,13.814118024034807,13.794338772996602,13.833897275073012
S5,Mujeres,35.0,13.826507590468978,13.806247167752751,13.846768013185205
S5,Mujeres,36.0,13.837824377944608,13.81709162190764,13.858557133981577
S5,Mujeres,37.0,13.848068386461705,13.826895158430249,13.869241614493161
S5,Mujeres,38.0,13.857239616020262,13.835673440722426,13.878805791318099
S5,Mujeres,39.0,13.865338066620286,13.843435770177221,13.88724036306335
S5,Mujeres,40.0,13.872363738261772,13.850185855257571,13.894541621265972
S5,Mujeres,41.0,13.878316630944717,13.855922323760986,13.900710938128448
S5,Mujeres,42.0,13.88319674466913,13.860638998307788,13.905754491030471
S5,Mujeres,43.0,13.887004079435002,13.8643249794269,13.909683179443103
S5,Mujeres,44.0,13.889738635242338,13.86696459879743,13.912512671687246
S5,Mujeres,45.0,13.891400412091137,13.86853732742233,13.914263496759945
S5,Mujeres,46.0,13.8919894099814,13.869017753436292,13.914961066526509
S5,Mujeres,47.0,13.891505628913126,13.868375777825054,13.914635480001198
S5,Mujeres,48.0,13.889949068886313,13.866577198711763,13.913320939060863
S5,Mujeres,49.0,13.887319729900963,13.863584839104728,13.911054620697197
S5,Mujeres,50.0,13.88361761195708,13.859360287640692,13.907874936273467
S5,Mujeres,51.0,13.878842715054656,13.853866153920965,13.903819276188347
S5,Mujeres,52.0,13.872995039193695,13.847068526786723,13.898921551600667
S5,Mujeres,53.0,13.866074584374198,13.838939162742891,13.893210006005505
S5,Mujeres,54.0,13.858081350596162,13.829456933283979,13.886705767908346
S5,Mujeres,55.0,13.849015337859592,13.818608258588855,13.87942241713033
S5,Mujeres,56.0,13.838876546164483,13.806386561038721,13.871366531290246
S5,Mujeres,57.0,13.827664975510839,13.792791029014095,13.862538922007582
S5,Mujeres,58.0,13.815380625898655,13.77782508224484,13.85293616955247
S5,Mujeres,59.0,13.802023497327937,13.761494876510167,13.842552118145708
S5,Mujeres,60.0,13.78759358979868,13.743808053595375,13.831379126001986
S5,Mujeres,61.0,13.772090903310886,13.724772811076868,13.819408995544904
S5,Mujeres,62.0,13.755515437864554,13.704397277102236,13.806633598626872
S5,Mujeres,63.0,13.737867193459687,13.682689132509434,13.79304525440994
S5,Mujeres,64.0,13.719146170096282,13.659655412974395,13.77863692721817
S5,Mujeres,65.0,13.69935236777434,13.635302431577077,13.763402303971603
S5,Mujeres,66.0,13.678485786493862,13.609635775881149,13.747335797106576
S5,Mujeres,67.0,13.656546426254845,13.582660347213908,13.730432505295783
S5,Mujeres,68.0,13.63353428705729,13.55438042088008,13.712688153234502
S5,Mujeres,69.0,13.6094493689012,13.524799714112548,13.694099023689853
S5,Mujeres,70.0,13.584291671786575,13.493921454061672,13.674661889511478
S5,Mujeres,71.0,13.558061195713412,13.461748441682571,13.654373949744253
S5,Mujeres,72.0,13.53075794068171,13.428283109581653,13.633232771781767
S5,Mujeres,73.0,13.502381906691472,13.393527573185878,13.611236240197066
S5,Mujeres,74.0,13.472933093742693,13.357483675326911,13.588382512158475
S5,Mujeres,75.0,13.44241150183538,13.32015302470715,13.564669978963611
