variable,tipo,filas,no_nulos,porcentaje_no_nulos,valores_distintos,media,desv_est,minimo,p25,mediana,p75,maximo,moda
y_salary_m_hu,float64,32177,9964,30.96621810610063,1390,7908.648703242056,11574.007170734565,48.6111106872559,3797.7041015625,4444.4443359375,7291.66650390625,291666.65625,3797.7041015625
y_ingLab_m,float64,32177,9964,30.96621810610063,3700,1735661.1424107256,2397597.8829532387,10000.0,869453.0,1026387.6875,1617052.71875,60100000.0,869453.0
y_horasExtras_m,float64,32177,895,2.7814898840786895,91,104597.6,171364.82768011454,0.0,0.0,50000.0,150000.0,2000000.0,0.0
y_especie_m,float64,32177,1327,4.124063772259689,125,165707.34740015073,142221.1153688485,0.0,51000.0,150000.0,240000.0,1000000.0,0.0
y_vivienda_m,float64,32177,104,0.3232122323398701,20,340336.53846153844,758974.8657283185,0.0,0.0,200000.0,350000.0,6000000.0,0.0
y_otros_m,float64,32177,131,0.40712310035118254,47,276812.9770992366,466879.7462363131,0.0,80000.0,145000.0,300000.0,4500000.0,100000.0
y_auxilioAliment_m,float64,32177,407,1.2648786400223762,82,118498.64864864865,167173.54569654723,0.0,0.0,70000.0,180000.0,1428000.0,0.0
y_auxilioTransp_m,float64,32177,5471,17.002828107032975,117,67666.32334125388,69428.76081199897,0.0,0.0,88211.0,88211.0,3000000.0,88211.0
y_subFamiliar_m,float64,32177,2301,7.151070640519626,139,44774.265536723164,45600.27083565049,0.0,30000.0,31000.0,60000.0,940000.0,30000.0
y_subEducativo_m,float64,32177,38,0.11809677720110638,26,396391.86842105264,624826.9928887417,0.0,30472.75,100000.0,387500.0,2700000.0,0.0
y_primas_m,float64,32177,95,0.29524194300276596,43,455992.2105263158,801431.6022398027,0.0,0.0,123637.0,500000.0,3500000.0,0.0
y_bonificaciones_m,float64,32177,366,1.137458433042235,78,546641.3989071038,2671324.0786252078,0.0,0.0,100000.0,300000.0,47200000.0,0.0
y_primaServicios_m,float64,32177,7207,22.397986139167728,400,1117089.8505619536,1727992.4073043086,0.0,350000.0,781242.0,1200000.0,56000000.0,0.0
y_primaNavidad_m,float64,32177,605,1.8802250054386676,98,1744529.2198347107,2732619.514596044,0.0,0.0,1200000.0,2400000.0,36500000.0,0.0
y_primaVacaciones_m,float64,32177,579,1.7994219473537,78,958670.3022452504,3425005.745597463,0.0,0.0,350000.0,1145000.0,77000000.0,0.0
y_viaticos_m,float64,32177,399,1.240016160611617,89,3096817.0426065163,10317323.958149092,0.0,0.0,600000.0,2000000.0,130000000.0,0.0
y_accidentes_m,float64,32177,35,0.10877334742207168,19,447121.4285714286,737940.6070957475,0.0,0.0,70000.0,595000.0,3125000.0,0.0
y_salarySec_m,float64,32177,461,1.4327003760450012,89,688761.9132321042,1121704.3655068104,6000.0,120000.0,300000.0,700000.0,10000000.0,200000.0
y_ingLab_m_ha,float64,32177,9964,30.96621810610063,5049,8779.402749842595,12850.070292069893,48.6111106872559,4212.962890625,5033.156982421875,7991.2919921875,350583.34375,4226.5078125
y_gananciaNeta_m,float64,32177,4904,15.240699878795413,237,1350620.3847871316,2460599.6153896824,84.0,480000.0,800000.0,1500000.0,70000000.0,800000.0
y_gananciaNetaAgro_m,float64,32177,0,0.0,0,,,,,,,,
y_gananciaIndep_m,float64,32177,4904,15.240699878795413,237,1350620.3847871316,2460599.6153896824,84.0,480000.0,800000.0,1500000.0,70000000.0,800000.0
y_gananciaIndep_m_hu,float64,32177,4904,15.240699878795413,698,8073.790597712229,15792.567871677236,0.47152778506279,2625.0,4131.9443359375,7777.77783203125,340277.78125,3888.88891601562
y_total_m,float64,32177,14868,46.206917984896045,3772,1608660.881757907,2425242.8825022033,84.0,797402.4375,989024.5625,1545708.3125,70000000.0,800000.0
y_total_m_ha,float64,32177,14868,46.206917984896045,5441,8504.196798278272,13828.288655942268,0.47152778506279,3754.1782836914076,4821.99365234375,7852.9615478515625,350583.34375,3888.88891601562
chunk,int64,32177,32177,100.0,10,5.499891226652578,2.8721744683482306,1.0,3.0,5.0,8.0,10.0,2
url_origen,object,32177,32177,100.0,10,,,,,,,,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_2.html
muestra_ps3,object,32177,32177,100.0,2,,,,,,,,entrenamiento
