variable,media,desv_est,minimo,p25,mediana,p75,maximo,moda
y_auxilioTransp_m,67666.32334125388,69428.76081199897,0.0,0.0,88211.0,88211.0,3000000.0,88211.0
y_subFamiliar_m,44774.265536723164,45600.27083565049,0.0,30000.0,31000.0,60000.0,940000.0,30000.0
y_subEducativo_m,396391.86842105264,624826.9928887417,0.0,30472.75,100000.0,387500.0,2700000.0,0.0
y_primas_m,455992.2105263158,801431.6022398027,0.0,0.0,123637.0,500000.0,3500000.0,0.0
y_bonificaciones_m,546641.3989071038,2671324.0786252078,0.0,0.0,100000.0,300000.0,47200000.0,0.0
y_primaServicios_m,1117089.8505619536,1727992.4073043086,0.0,350000.0,781242.0,1200000.0,56000000.0,0.0
y_primaNavidad_m,1744529.2198347107,2732619.514596044,0.0,0.0,1200000.0,2400000.0,36500000.0,0.0
y_primaVacaciones_m,958670.3022452504,3425005.745597463,0.0,0.0,350000.0,1145000.0,77000000.0,0.0
y_viaticos_m,3096817.0426065163,10317323.958149092,0.0,0.0,600000.0,2000000.0,130000000.0,0.0
y_accidentes_m,447121.4285714286,737940.6070957475,0.0,0.0,70000.0,595000.0,3125000.0,0.0
y_salarySec_m,688761.9132321042,1121704.3655068104,6000.0,120000.0,300000.0,700000.0,10000000.0,200000.0
y_ingLab_m_ha,8779.402749842595,12850.070292069893,48.6111106872559,4212.962890625,5033.156982421875,7991.2919921875,350583.34375,4226.5078125
y_gananciaNeta_m,1350620.3847871316,2460599.6153896824,84.0,480000.0,800000.0,1500000.0,70000000.0,800000.0
y_gananciaNetaAgro_m,,,,,,,,
y_gananciaIndep_m,1350620.3847871316,2460599.6153896824,84.0,480000.0,800000.0,1500000.0,70000000.0,800000.0
y_gananciaIndep_m_hu,8073.790597712229,15792.567871677236,0.47152778506279,2625.0,4131.9443359375,7777.77783203125,340277.78125,3888.88891601562
y_total_m,1608660.881757907,2425242.8825022033,84.0,797402.4375,989024.5625,1545708.3125,70000000.0,800000.0
y_total_m_ha,8504.196798278272,13828.288655942268,0.47152778506279,3754.1782836914076,4821.99365234375,7852.9615478515625,350583.34375,3888.88891601562
chunk,5.499891226652578,2.8721744683482306,1.0,3.0,5.0,8.0,10.0,2
url_origen,,,,,,,,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_2.html
muestra_ps3,,,,,,,,entrenamiento
